Name,Location,Salary,Description
Indeed,Hyderābād,54 - 80 ,Articulate and document best practices and design principles to mentor other developers. Total work: 3 years (Preferred).…
Mastercard,Gurgaon,2 - 3 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……"
MathCo,Bengaluru,8 - 10 ,Performs research for solutions and solves problems efficiently to overcome data analytics challenges. Applies business acumen in analyses to extract meaningful……
ZS,Gurgaon,4 - 10 ,"Being part of the ADS group at ZS will be an opportunity for you to work on cutting-edge solutions, utilizing new age data sources to shape innovations across……"
SUGAR Cosmetics,Mumbai,3 - 5 ,"Stay current with Python libraries and data analysis trends, demonstrating a commitment to ongoing learning and adapting to evolving business needs.…"
Big Oh Notation,Noida,4 - 5 ,"Good Practice on data handling, data cleaning, and feature extractions. Knowledge of data manipulation and visualization tools such as Pandas, NumPy, and……"
Infosys,Bengaluru,3 - 9 ,"Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &……"
Air India,Cochin,6 - 9 ,Stay updated with the latest industry trends and advancements in data science techniques and tools. Collaborate with cross-functional teams to understand……
ANZ Banking Group,Bengaluru,6 - 7 ,"As a People Data Analyst, you will be responsible for supporting the delivery of people/HR reporting and analytics. Respond to ad hoc queries.…"
Amex,Gurgaon,3 - 5 ,This position is in the Marketing Analytics team supporting the ICS business team and is responsible for expanding and deepening relationships with customers……
UST,Bengaluru,2 - 4 ,"Data Analyst ""PowerBI/Tableau, SQL, Relational Data Base, Bachelor’s Degree in Computer Science, Data Analytics, Accounting or an equivalent amount of related……"
Indeed,Remote,32 - 48 ,"1+ years of industry experience as a Software Engineer, Data Scientist, or Machine Learning Engineer. As a Data Scientist you will prepare datasets, train and……"
United Airlines,Gurgaon,8 - 10 ,"As an Associate Analyst, you will complete data analytics projects that create customer strategies, sustainable revenue and share growth, efficiencies and cost……"
Tata Consultancy Services,Mumbai,2 - 9 ,"Collaborates with users in projects and problem management to maintain, develop and deploy the best feasible and most cost efficient IS solutions/services for……"
Shyam Engg,Delhi,13 - 17 ,Data Science expert with Good knowledge of Power BI and Excel. Total work: 1 year (Preferred).…
Softweb Solutions,Ahmedabad,3 - 6 ,"AI, ML, Deep learning, Computer Vision, NLP Skills. Python/R Scripting Experience(Must). Any Cloud Experience (Azure/AWS/GCP).…"
Bullsmart,Bengaluru,22 - 40 ,Stay up to date on cutting-edge data science techniques and tools. Experience working with diverse data sources and platforms. Post paid SIM card provided.…
Educate Girls,Jaipur,9 ,Minimum 3 years of relevant work experience data analytics/data visualization/ data. Design and analyze data in relational databases.…
Academy of Professional Learning & Certification,Remote,5 - 18 ,"A bachelor's degree or higher in computer science, data analytics, or a related field. As a trainer, you will be responsible for leading data analytics training……"
Toolyt,Jaipur,35 - 45 ,"The successful candidate will turn data into information, information into insight and insight into business decisions. Analyze and organize raw data.…"
Dhruvon Technology Pvt Ltd,Remote,25 - 50 ,"As an online coding teacher, your responsibility would be teaching Data Science and Machine learning with Python Online Coding Tutor with key skills of-.…"
Unpadh Private Limited,Remote,"2,500.00 Per hour ","Keep abreast of advancements in data science, technology, and industry practices to ensure the curriculum remains relevant and up-to-date.…"
