Name,Location,Salary,Description,desc_len,max_salary,min_salary,avg_salary
Indeed,Hyderābād,54 - 80 ,Articulate and document best practices and design principles to mentor other developers. Total work: 3 years (Preferred).…,122,54,80,67.0
Mastercard,Gurgaon,2 - 3 ,"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……",160,2,3,2.5
MathCo,Bengaluru,8 - 10 ,Performs research for solutions and solves problems efficiently to overcome data analytics challenges. Applies business acumen in analyses to extract meaningful……,162,8,10,9.0
ZS,Gurgaon,4 - 10 ,"Being part of the ADS group at ZS will be an opportunity for you to work on cutting-edge solutions, utilizing new age data sources to shape innovations across……",160,4,10,7.0
SUGAR Cosmetics,Mumbai,3 - 5 ,"Stay current with Python libraries and data analysis trends, demonstrating a commitment to ongoing learning and adapting to evolving business needs.…",149,3,5,4.0
Big Oh Notation,Noida,4 - 5 ,"Good Practice on data handling, data cleaning, and feature extractions. Knowledge of data manipulation and visualization tools such as Pandas, NumPy, and……",155,4,5,4.5
Infosys,Bengaluru,3 - 9 ,"Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &……",152,3,9,6.0
Air India,Cochin,6 - 9 ,Stay updated with the latest industry trends and advancements in data science techniques and tools. Collaborate with cross-functional teams to understand……,155,6,9,7.5
ANZ Banking Group,Bengaluru,6 - 7 ,"As a People Data Analyst, you will be responsible for supporting the delivery of people/HR reporting and analytics. Respond to ad hoc queries.…",143,6,7,6.5
Amex,Gurgaon,3 - 5 ,This position is in the Marketing Analytics team supporting the ICS business team and is responsible for expanding and deepening relationships with customers……,159,3,5,4.0
UST,Bengaluru,2 - 4 ,"Data Analyst ""PowerBI/Tableau, SQL, Relational Data Base, Bachelor’s Degree in Computer Science, Data Analytics, Accounting or an equivalent amount of related……",160,2,4,3.0
Indeed,Remote,32 - 48 ,"1+ years of industry experience as a Software Engineer, Data Scientist, or Machine Learning Engineer. As a Data Scientist you will prepare datasets, train and……",160,32,48,40.0
United Airlines,Gurgaon,8 - 10 ,"As an Associate Analyst, you will complete data analytics projects that create customer strategies, sustainable revenue and share growth, efficiencies and cost……",161,8,10,9.0
Tata Consultancy Services,Mumbai,2 - 9 ,"Collaborates with users in projects and problem management to maintain, develop and deploy the best feasible and most cost efficient IS solutions/services for……",160,2,9,5.5
Shyam Engg,Delhi,13 - 17 ,Data Science expert with Good knowledge of Power BI and Excel. Total work: 1 year (Preferred).…,95,13,17,15.0
Softweb Solutions,Ahmedabad,3 - 6 ,"AI, ML, Deep learning, Computer Vision, NLP Skills. Python/R Scripting Experience(Must). Any Cloud Experience (Azure/AWS/GCP).…",127,3,6,4.5
Bullsmart,Bengaluru,22 - 40 ,Stay up to date on cutting-edge data science techniques and tools. Experience working with diverse data sources and platforms. Post paid SIM card provided.…,156,22,40,31.0
Educate Girls,Jaipur,9 ,Minimum 3 years of relevant work experience data analytics/data visualization/ data. Design and analyze data in relational databases.…,134,9,9,9.0
Academy of Professional Learning & Certification,Remote,5 - 18 ,"A bachelor's degree or higher in computer science, data analytics, or a related field. As a trainer, you will be responsible for leading data analytics training……",162,5,18,11.5
