Image,Name,employerprofile_ratingcontainer_n4hxe,jobcard_seolink_wdqhz_URL,jobcard_seolink_wdqhz,Location,Salary,Description,Salary1,jobcard_easyapply_eiob,Description2,Description3,jobcard_listingage_kuaxz
https://media.glassdoor.com/sql/100561/indeed-squareLogo-1671046570073.png,Indeed,4.2,"https://www.glassdoor.co.in/job-listing/data-engineer-iii-indeed-JV_IC2865319_KO0,17_KE18,24.htm?jl=1008888491054",Data Engineer III,Hyderābād,₹54L - ₹80L (Employer Est.),Articulate and document best practices and design principles to mentor other developers. Total work: 3 years (Preferred).…,(Employer Est.),Easy Apply,,,30d+
https://media.glassdoor.com/sql/3677/mastercard-squarelogo-1468516067022.png,Mastercard,4.3,"https://www.glassdoor.co.in/job-listing/data-scientist-mastercard-JV_IC2921225_KO0,14_KE15,25.htm?jl=1009048627132",Data Scientist,Gurgaon,₹2L - ₹3L (Glassdoor Est.),"All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected……",(Glassdoor Est.),,,,4d
https://media.glassdoor.com/sql/1524242/themathcompany-squareLogo-1699247664000.png,MathCo,3.5,"https://www.glassdoor.co.in/job-listing/associate-data-science-mathco-JV_IC2940587_KO0,22_KE23,29.htm?jl=1009014620994",Associate - Data Science,Bengaluru,₹8L - ₹10L (Glassdoor Est.),Performs research for solutions and solves problems efficiently to overcome data analytics challenges. Applies business acumen in analyses to extract meaningful……,(Glassdoor Est.),,data,,25d
https://media.glassdoor.com/sql/3750941/zappian-media-squarelogo-1661870368812.png,Zappian,,"https://www.glassdoor.co.in/job-listing/data-science-intern-zappian-JV_IC2837784_KO0,19_KE20,27.htm?jl=1009020431318",Data Science Intern,Bhopal,,Model Development: Collaborate with the data science team to build and refine machine learning models for predictive analytics and decision support.…,,,data,science,22d
https://media.glassdoor.com/sql/448982/indian-register-of-shipping-squarelogo-1432880042659.png,International Register of Shipping,3.8,"https://www.glassdoor.co.in/job-listing/database-engineer-international-register-of-shipping-JV_IC2887994_KO0,17_KE18,52.htm?jl=1008910495888",DATABASE ENGINEER,Cochin,,Sound knowledge of best practices in database engineering and data security. REMUNERATION: * Competitive benefits as per industry standards.…,,Easy Apply,data,,30d+
https://media.glassdoor.com/sql/2086958/discover-dollar-squarelogo-1589287207857.png,Discover Dollar,4.8,"https://www.glassdoor.co.in/job-listing/data-science-intern-discover-dollar-JV_IC2940587_KO0,19_KE20,35.htm?jl=1009035792801",Data Science Intern,Bengaluru,,"Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress.…",,,,,12d
https://media.glassdoor.com/sql/7713363/medtek-ai-squarelogo-1662722599969.png,Medtek.AI,,"https://www.glassdoor.co.in/job-listing/data-science-intern-medtek-ai-JV_IC4477468_KO0,19_KE20,29.htm?jl=1008877890895",DATA SCIENCE INTERN,Noida,,"Ability to work in cross-functional, multi-cultural and international clinical trial teams. Performing data manipulation, analysis, and reporting of clinical……",,,data,,30d+
https://media.glassdoor.com/sql/4138/accenture-squarelogo-1603988625135.png,Accenture,4.0,"https://www.glassdoor.co.in/job-listing/data-science-analytics-specialist-insights-and-intelligence-accenture-JV_IC2921225_KO0,59_KE60,69.htm?jl=1009050756715",Data Science Analytics Specialist - Insights and Intelligence,Gurgaon,,"In this role you are required to do analysis and solving of moderately complex problems • May create new solutions, leveraging and, where needed, adapting……",,,,,2d
https://media.glassdoor.com/sql/115506/zs-associates-squareLogo-1688156504178.png,ZS,3.8,"https://www.glassdoor.co.in/job-listing/advanced-data-science-associate-zs-JV_IC2921225_KO0,31_KE32,34.htm?jl=1009008920271",Advanced Data Science Associate,Gurgaon,₹4L - ₹10L (Glassdoor Est.),"Being part of the ADS group at ZS will be an opportunity for you to work on cutting-edge solutions, utilizing new age data sources to shape innovations across……",(Glassdoor Est.),,data,,29d
https://media.glassdoor.com/sql/2585447/sugar-cosmetics-squarelogo-1606752714894.png,SUGAR Cosmetics,,"https://www.glassdoor.co.in/job-listing/data-analyst-sugar-cosmetics-JV_IC2851180_KO0,12_KE13,28.htm?jl=1009048760888",Data Analyst,Mumbai,₹3L - ₹5L (Glassdoor Est.),"Stay current with Python libraries and data analysis trends, demonstrating a commitment to ongoing learning and adapting to evolving business needs.…",(Glassdoor Est.),,data,,4d
https://media.glassdoor.com/sql/5030007/big-oh-notation-squareLogo-1669380398305.png,Big Oh Notation,3.6,"https://www.glassdoor.co.in/job-listing/junior-data-scientist-big-oh-notation-JV_IC4477468_KO0,21_KE22,37.htm?jl=1009009391305",Junior Data Scientist,Noida,₹4L - ₹5L (Glassdoor Est.),"Good Practice on data handling, data cleaning, and feature extractions. Knowledge of data manipulation and visualization tools such as Pandas, NumPy, and……",(Glassdoor Est.),,data,data,29d
https://media.glassdoor.com/sql/7927/infosys-squareLogo-1620208556721.png,Infosys,3.8,"https://www.glassdoor.co.in/job-listing/data-science-infosys-JV_IC2940587_KO0,12_KE13,20.htm?jl=1008915457125",Data Science,Bengaluru,₹3L - ₹9L (Glassdoor Est.),"Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &……",(Glassdoor Est.),,Data,data,30d+
https://media.glassdoor.com/sql/13097/air-india-squarelogo.png,Air India,3.9,"https://www.glassdoor.co.in/job-listing/data-scientist-air-india-JV_IC2887994_KO0,14_KE15,24.htm?jl=1008934626929",Data Scientist,Cochin,₹6L - ₹9L (Glassdoor Est.),Stay updated with the latest industry trends and advancements in data science techniques and tools. Collaborate with cross-functional teams to understand……,(Glassdoor Est.),,data,science,30d+
https://media.glassdoor.com/sql/3879/boston-consulting-group-squareLogo-1692189677151.png,Boston Consulting Group,3.9,"https://www.glassdoor.co.in/job-listing/research-associate-data-research-services-boston-consulting-group-JV_IC2891681_KO0,41_KE42,65.htm?jl=1008965212310",Research Associate - Data & Research Services,New Delhi,,Demonstrate your ability to synthesize (draw insight/conclusion) and package research output that directly address the problem in a clear and structured way.…,,,,,30d+
https://media.glassdoor.com/sql/3283253/hyqoo-squareLogo-1681359678580.png,Hyqoo,4.4,"https://www.glassdoor.co.in/job-listing/data-annotator-hyqoo-JV_KO0,14_KE15,20.htm?jl=1008946426078",Data Annotator,Remote,,"As a Data Annotator, you will play a crucial role in preparing labeled data for training and evaluating machine learning models, particularly in the field of……",,,Data,data,30d+
https://media.glassdoor.com/sql/5782/anz-squareLogo-1669659849155.png,ANZ Banking Group,4.0,"https://www.glassdoor.co.in/job-listing/data-analyst-anz-banking-group-JV_IC2940587_KO0,12_KE13,30.htm?jl=1009050511874",Data Analyst,Bengaluru,₹6L - ₹7L (Glassdoor Est.),"As a People Data Analyst, you will be responsible for supporting the delivery of people/HR reporting and analytics. Respond to ad hoc queries.…",(Glassdoor Est.),,Data,,2d
https://media.glassdoor.com/sql/13461/tata-consultancy-services-squareLogo-1634801936555.png,Tata Consultancy Services,3.8,"https://www.glassdoor.co.in/job-listing/data-scientist-tata-consultancy-services-JV_IC2940587_KO0,14_KE15,40.htm?jl=1008964402338",Data Scientist,Bengaluru,,Skill: Data scientist with good experience on modelling and data processing using scala spark/pyspark; Expert level knowledge of Python (for data science) ;……,,,Data,data,30d+
